seed,config,r,m_t_source,point_idx,category,t,tau,d_eff_denoiser,d_eff_energy
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.3439404368400574,2.779782472836345,25.446487426757812,0.004044292396201854
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.3439404368400574,2.779782472836345,31.63896942138672,11.012654813149538
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.3439404368400574,2.779782472836345,32.31239700317383,10.309662504149344
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.4744112491607666,1.1746289550474969,30.283428192138672,13.479503277114816
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.4744112491607666,1.1746289550474969,29.73491859436035,12.533150232793218
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.4744112491607666,1.1746289550474969,40.00065612792969,16.55347814785455
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.4744112491607666,1.1746289550474969,46.18549728393555,29.172879954796997
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.5968067646026611,0.5390999645963476,34.00108337402344,23.18339898145814
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.5968067646026611,0.5390999645963476,29.797378540039062,26.65545261840566
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.5968067646026611,0.5390999645963476,46.70500946044922,33.78491211288872
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.5968067646026611,0.5390999645963476,55.51502227783203,52.132149770393426
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.7030022144317627,0.2536124180769004,40.10151672363281,36.462037227414356
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.7030022144317627,0.2536124180769004,36.22596740722656,18.64385183944762
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.7030022144317627,0.2536124180769004,60.17072296142578,66.24409337610368
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.7030022144317627,0.2536124180769004,61.040794372558594,49.11993033155409
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.7929977178573608,0.1136527103800597,51.96923828125,39.602602659225454
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.7929977178573608,0.1136527103800597,42.240501403808594,18.962952716643656
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.7929977178573608,0.1136527103800597,88.04418182373047,62.975072430236395
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.7929977178573608,0.1136527103800597,76.568359375,33.15609245846025
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.8667932748794556,0.045091974415785184,62.83094787597656,30.939622857059618
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.8667932748794556,0.045091974415785184,51.956058502197266,33.988685700982785
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.8667932748794556,0.045091974415785184,101.19573211669922,66.58833338014102
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.8667932748794556,0.045091974415785184,82.32252502441406,43.86178156753013
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9243887662887573,0.014240003124832406,75.06541442871094,60.37178975343684
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9243887662887573,0.014240003124832406,70.81847381591797,23.504676235426132
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9243887662887573,0.014240003124832406,175.52780151367188,71.69497784758443
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9243887662887573,0.014240003124832406,96.933349609375,66.21544576408095
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9639095067977905,0.003220746852003259,103.30972290039062,95.36855661207989
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9639095067977905,0.003220746852003259,100.94087219238281,-5.569337747545774
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9639095067977905,0.003220746852003259,136.04452514648438,32.65526445491352
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9639095067977905,0.003220746852003259,129.59837341308594,66.54113098839636
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9900050163269043,0.00024653313770706494,102.74275207519531,130.11880749445763
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9900050163269043,0.00024653313770706494,100.61398315429688,23.907214961457697
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9900050163269043,0.00024653313770706494,146.96080017089844,114.78033693070853
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9900050163269043,0.00024653313770706494,137.2532196044922,144.6459973622516
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,4254,typical,0.9999005198478699,2.441814355392075e-08,313.0232849121094,189.12729611092283
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,3185,typical,0.9999005198478699,2.441814355392075e-08,297.7160339355469,178.1518946191047
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1600,rare,0.9999005198478699,2.441814355392075e-08,294.48211669921875,461.8510408096939
301,turbulencesynth_M256_J8_Q3_sigma3.5_nt40000_n1_5000_lam5e-07_seed_301_terms2f1130a8_20260728_1232,272,recomputed,1473,rare,0.9999005198478699,2.441814355392075e-08,299.9432373046875,422.10987155552857
